symbol,side,system,trend_tf,trigger_tf,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_points,pnl_pct,pnl_pct_net,lot_size,fee_pct_rt
BTCUSD,SELL,backtest_mtf,1h,15m,2026-02-07 16:00:00+00:00,69428.0,2026-02-08 08:15:00+00:00,70176.0,opposite_signal,-748.0,-1.0774,-1.1774,1,0.1
BTCUSD,BUY,backtest_mtf,1h,15m,2026-02-08 08:15:00+00:00,70176.0,2026-02-10 23:00:00+00:00,68690.0,opposite_signal,-1486.0,-2.1175,-2.2175,1,0.1
BTCUSD,SELL,backtest_mtf,1h,15m,2026-02-10 23:00:00+00:00,68690.0,2026-02-15 04:00:00+00:00,70414.0,opposite_signal,-1724.0,-2.5098,-2.6098,1,0.1
BTCUSD,BUY,backtest_mtf,1h,15m,2026-02-15 04:00:00+00:00,70414.0,2026-02-18 23:00:00+00:00,66357.0,opposite_signal,-4057.0,-5.7616,-5.8616,1,0.1
BTCUSD,SELL,backtest_mtf,1h,15m,2026-02-18 23:00:00+00:00,66357.0,2026-03-02 18:00:00+00:00,69177.5,opposite_signal,-2820.5,-4.2505,-4.3505,1,0.1
BTCUSD,BUY,backtest_mtf,1h,15m,2026-03-02 18:00:00+00:00,69177.5,2026-03-07 22:00:00+00:00,67297.0,opposite_signal,-1880.5,-2.7184,-2.8184,1,0.1
BTCUSD,SELL,backtest_mtf,1h,15m,2026-03-07 22:00:00+00:00,67297.0,2026-03-10 06:00:00+00:00,69851.0,opposite_signal,-2554.0,-3.7951,-3.8951,1,0.1
BTCUSD,BUY,backtest_mtf,1h,15m,2026-03-10 06:00:00+00:00,69851.0,2026-03-19 15:00:00+00:00,69672.0,opposite_signal,-179.0,-0.2563,-0.3563,1,0.1
BTCUSD,SELL,backtest_mtf,1h,15m,2026-03-19 15:00:00+00:00,69672.0,2026-03-25 12:00:00+00:00,71723.5,opposite_signal,-2051.5,-2.9445,-3.0445,1,0.1
BTCUSD,BUY,backtest_mtf,1h,15m,2026-03-25 12:00:00+00:00,71723.5,2026-03-26 12:00:00+00:00,69346.5,opposite_signal,-2377.0,-3.3141,-3.4141,1,0.1
BTCUSD,SELL,backtest_mtf,1h,15m,2026-03-26 12:00:00+00:00,69346.5,2026-04-06 03:00:00+00:00,69106.0,opposite_signal,240.5,0.3468,0.2468,1,0.1
BTCUSD,BUY,backtest_mtf,1h,15m,2026-04-06 03:00:00+00:00,69106.0,2026-04-28 20:00:00+00:00,76363.0,opposite_signal,7257.0,10.5013,10.4013,1,0.1
BTCUSD,SELL,backtest_mtf,1h,15m,2026-04-28 20:00:00+00:00,76363.0,2026-04-29 11:00:00+00:00,77535.5,opposite_signal,-1172.5,-1.5354,-1.6354,1,0.1
BTCUSD,BUY,backtest_mtf,1h,15m,2026-04-29 11:00:00+00:00,77535.5,2026-04-29 14:00:00+00:00,76556.0,opposite_signal,-979.5,-1.2633,-1.3633,1,0.1
BTCUSD,SELL,backtest_mtf,1h,15m,2026-04-29 14:00:00+00:00,76556.0,2026-05-01 14:00:00+00:00,78629.0,opposite_signal,-2073.0,-2.7078,-2.8078,1,0.1
BTCUSD,BUY,backtest_mtf,1h,15m,2026-05-01 14:00:00+00:00,78629.0,2026-05-08 14:30:00+00:00,79931.0,end_of_data,1302.0,1.6559,1.5559,1,0.1
