symbol,side,system,trend_tf,trigger_tf,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_points,pnl_pct,pnl_pct_net,lot_size,fee_pct_rt
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-16 21:00:00+00:00,65476.5,2024-05-19 13:00:00+00:00,66710.5187,trailing_sl_hit,1234.0187,1.8847,1.8837,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-19 13:00:00+00:00,67059.0,2024-05-19 16:00:00+00:00,66589.4252,trailing_sl_hit,-469.5748,-0.7002,-0.7012,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-20 04:00:00+00:00,67165.0,2024-05-20 06:00:00+00:00,66654.0851,trailing_sl_hit,-510.9149,-0.7607,-0.7617,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-20 07:00:00+00:00,66831.0,2024-05-21 19:00:00+00:00,69452.477,trailing_sl_hit,2621.477,3.9225,3.9215,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-21 22:00:00+00:00,70225.5,2024-05-22 04:00:00+00:00,69416.2968,trailing_sl_hit,-809.2032,-1.1523,-1.1533,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-22 08:00:00+00:00,70040.5,2024-05-22 18:00:00+00:00,69343.7644,trailing_sl_hit,-696.7356,-0.9948,-0.9958,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-23 07:00:00+00:00,69747.5,2024-05-23 12:00:00+00:00,69130.8677,trailing_sl_hit,-616.6323,-0.8841,-0.8851,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-06-04 00:00:00+00:00,69025.0,2024-06-06 20:00:00+00:00,70269.8579,trailing_sl_hit,1244.8579,1.8035,1.8025,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-06-07 03:00:00+00:00,71013.5,2024-06-07 17:00:00+00:00,70560.059,trailing_sl_hit,-453.441,-0.6385,-0.6395,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-06-18 00:00:00+00:00,65752.5,2024-06-20 10:00:00+00:00,66113.1621,trailing_sl_hit,-360.6621,-0.5485,-0.5495,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-06-20 13:00:00+00:00,65173.5,2024-06-24 09:00:00+00:00,62476.7253,trailing_sl_hit,2696.7747,4.1378,4.1368,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-06-25 05:00:00+00:00,61050.0,2024-06-25 14:00:00+00:00,61907.7309,trailing_sl_hit,-857.7309,-1.405,-1.406,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-06-26 05:00:00+00:00,61549.5,2024-06-27 13:00:00+00:00,61933.5094,trailing_sl_hit,-384.0094,-0.6239,-0.6249,100,0.001
