symbol,side,system,trend_tf,trigger_tf,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_points,pnl_pct,pnl_pct_net,lot_size,fee_pct_rt
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-05-19 07:00:00+00:00,3116.15,2024-05-19 11:00:00+00:00,3096.2055,trailing_sl_hit,-19.9445,-0.64,-0.641,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-05-20 02:00:00+00:00,3092.8,2024-05-20 04:00:00+00:00,3087.774,trailing_sl_hit,-5.026,-0.1625,-0.1635,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-05-20 04:00:00+00:00,3123.9,2024-05-20 06:00:00+00:00,3101.4116,trailing_sl_hit,-22.4884,-0.7199,-0.7209,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-05-20 07:00:00+00:00,3091.55,2024-05-20 19:00:00+00:00,3368.2811,trailing_sl_hit,276.7311,8.9512,8.9502,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-05-22 14:00:00+00:00,3746.45,2024-05-22 18:00:00+00:00,3703.2245,trailing_sl_hit,-43.2255,-1.1538,-1.1548,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-05-23 15:00:00+00:00,3816.35,2024-05-23 18:00:00+00:00,3723.2209,trailing_sl_hit,-93.1291,-2.4403,-2.4413,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-05-23 19:00:00+00:00,3788.0,2024-05-23 20:00:00+00:00,3693.3971,trailing_sl_hit,-94.6029,-2.4974,-2.4984,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-05-23 21:00:00+00:00,3841.35,2024-05-24 06:00:00+00:00,3714.4898,trailing_sl_hit,-126.8602,-3.3025,-3.3035,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-05-24 18:00:00+00:00,3734.05,2024-05-26 14:00:00+00:00,3815.9106,trailing_sl_hit,81.8606,2.1923,2.1913,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-05-27 21:00:00+00:00,3894.95,2024-05-28 01:00:00+00:00,3844.0545,trailing_sl_hit,-50.8955,-1.3067,-1.3077,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-05-28 08:00:00+00:00,3878.35,2024-05-28 13:00:00+00:00,3864.8053,trailing_sl_hit,-13.5447,-0.3492,-0.3502,100,0.001
ETHUSD,SELL,swing_4h_1h,4h,1h,2024-06-25 07:00:00+00:00,3359.0,2024-06-25 14:00:00+00:00,3404.954,trailing_sl_hit,-45.954,-1.3681,-1.3691,100,0.001
ETHUSD,SELL,swing_4h_1h,4h,1h,2024-06-26 05:00:00+00:00,3387.9,2024-06-26 17:00:00+00:00,3372.516,trailing_sl_hit,15.384,0.4541,0.4531,100,0.001
ETHUSD,SELL,swing_4h_1h,4h,1h,2024-06-26 22:00:00+00:00,3381.3,2024-06-27 09:00:00+00:00,3404.2689,trailing_sl_hit,-22.9689,-0.6793,-0.6803,100,0.001
ETHUSD,SELL,swing_4h_1h,4h,1h,2024-07-07 04:00:00+00:00,3029.1,2024-07-07 18:00:00+00:00,3000.4618,trailing_sl_hit,28.6382,0.9454,0.9444,100,0.001
ETHUSD,SELL,swing_4h_1h,4h,1h,2024-07-08 14:00:00+00:00,2982.6,2024-07-09 01:00:00+00:00,3046.2784,trailing_sl_hit,-63.6784,-2.135,-2.136,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-07-18 22:00:00+00:00,3432.8,2024-07-19 01:00:00+00:00,3393.1622,trailing_sl_hit,-39.6378,-1.1547,-1.1557,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-07-19 03:00:00+00:00,3429.85,2024-07-19 07:00:00+00:00,3403.128,trailing_sl_hit,-26.722,-0.7791,-0.7801,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-07-21 09:00:00+00:00,3501.25,2024-07-21 17:00:00+00:00,3484.2861,trailing_sl_hit,-16.9639,-0.4845,-0.4855,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-07-21 20:00:00+00:00,3499.6,2024-07-22 05:00:00+00:00,3507.0512,trailing_sl_hit,7.4512,0.2129,0.2119,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-07-23 01:00:00+00:00,3482.55,2024-07-23 05:00:00+00:00,3440.9475,trailing_sl_hit,-41.6025,-1.1946,-1.1956,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-07-24 10:00:00+00:00,3470.0,2024-07-24 14:00:00+00:00,3429.7688,trailing_sl_hit,-40.2312,-1.1594,-1.1604,100,0.001
